Record_ID,Date,Region,Team,Metric_A,Metric_B,Metric_C,Score,Completion_Rate,Status,Is_Priority,Comments
REC-0518,2026-06-02,East,Beta,98.82,177.43,47.34,81.1,0.840,Active,FALSE,Follow-up recommended
REC-0519,2026-06-03,East,Alpha,112.45,195.46,50.03,93.6,0.910,Paused,TRUE,
REC-0520,2026-06-04,South,Delta,127.37,228.55,48.09,96.9,0.875,Active,TRUE,No action required
REC-0521,2026-06-05,East,Alpha,103.94,176.92,50.67,81.1,0.911,Active,TRUE,Routine observation
REC-0522,2026-06-06,North,Gamma,101.81,182.80,55.99,92.1,0.901,Active,TRUE,Follow-up recommended
REC-0523,2026-06-07,North,Delta,108.83,177.12,55.52,78.7,0.865,Active,TRUE,Within expected range
REC-0524,2026-06-08,South,Alpha,111.15,201.30,54.50,78.8,0.870,Active,TRUE,Performance improving
REC-0525,2026-06-09,South,Gamma,109.14,193.28,47.01,77.4,0.987,Active,TRUE,Performance improving
REC-0526,2026-06-10,North,Alpha,109.40,196.42,51.57,83.3,0.798,Active,TRUE,
REC-0527,2026-06-11,South,Epsilon,120.07,206.35,41.96,93.3,0.903,Active,TRUE,Follow-up recommended
REC-0528,2026-06-12,South,Epsilon,115.44,195.67,60.42,83.6,0.936,Paused,TRUE,No action required
REC-0529,2026-06-13,South,Beta,120.51,206.81,53.23,84.6,0.831,Active,TRUE,Follow-up recommended
REC-0530,2026-06-14,North,Beta,111.12,192.90,42.43,97.4,0.846,Paused,TRUE,Follow-up recommended
REC-0531,2026-06-15,West,Epsilon,101.93,182.80,44.60,90.6,0.917,Active,TRUE,Follow-up recommended
REC-0532,2026-06-16,North,Gamma,106.20,187.15,49.09,94.1,0.823,Active,TRUE,Within expected range
REC-0533,2026-06-17,South,Epsilon,111.47,205.99,46.29,87.0,1.000,Review,TRUE,Follow-up recommended
REC-0534,2026-06-18,West,Gamma,93.49,158.76,30.47,83.8,0.848,Active,FALSE,Routine observation
REC-0535,2026-06-19,South,Alpha,117.19,214.80,54.89,94.7,0.887,Active,TRUE,Routine observation
REC-0536,2026-06-20,East,Alpha,100.00,182.91,41.94,74.9,0.872,Active,FALSE,Within expected range
REC-0537,2026-06-21,South,Delta,116.52,208.60,40.53,100.0,0.886,Paused,TRUE,Performance improving
REC-0538,2026-06-22,South,Beta,115.85,210.01,34.56,76.1,0.927,Active,TRUE,No action required
REC-0539,2026-06-23,South,Epsilon,117.20,204.85,63.39,85.3,0.921,Active,TRUE,Performance improving
REC-0540,2026-06-24,South,Beta,120.05,214.82,64.56,86.9,0.937,Active,TRUE,No action required
REC-0541,2026-06-25,South,Alpha,121.05,207.37,48.90,97.1,0.849,Paused,TRUE,Within expected range
REC-0542,2026-06-26,East,Beta,103.33,194.21,45.12,68.0,0.877,Review,TRUE,Within expected range
REC-0543,2026-06-27,West,Delta,112.34,194.22,33.05,93.4,0.916,Review,TRUE,Routine observation
REC-0544,2026-06-28,East,Gamma,102.60,182.86,47.78,72.2,0.934,Active,TRUE,Routine observation
REC-0545,2026-06-29,West,Epsilon,101.55,188.27,41.87,75.4,0.897,Active,TRUE,Within expected range
REC-0546,2026-06-30,South,Epsilon,118.88,194.99,45.72,95.5,0.877,Active,TRUE,Performance improving
REC-0547,2026-07-01,North,Beta,109.97,197.12,53.63,97.6,0.786,Review,TRUE,No action required
REC-0548,2026-07-02,East,Delta,100.72,173.17,43.69,88.9,0.748,Active,TRUE,Within expected range
REC-0549,2026-07-03,East,Epsilon,89.69,153.90,45.80,84.6,0.871,Paused,FALSE,Follow-up recommended
REC-0550,2026-07-04,South,Alpha,117.20,193.01,,88.7,0.880,Active,TRUE,Performance improving
REC-0551,2026-07-05,East,Epsilon,97.91,166.38,44.75,81.4,0.870,Active,TRUE,No action required
REC-0552,2026-07-06,South,Gamma,114.18,204.22,52.72,86.9,0.825,Review,TRUE,Within expected range
REC-0553,2026-07-07,East,Epsilon,102.71,190.13,50.47,88.4,0.915,Active,TRUE,Within expected range
REC-0554,2026-07-08,North,Alpha,110.57,209.49,40.78,90.0,0.819,Paused,TRUE,No action required
REC-0555,2026-07-09,North,Gamma,109.35,190.37,40.87,85.1,0.878,Active,TRUE,Routine observation
REC-0556,2026-07-10,South,Gamma,108.67,188.01,51.29,84.0,0.901,Active,TRUE,Performance improving
REC-0557,2026-07-11,West,Delta,102.64,187.70,48.37,83.1,0.954,Active,TRUE,Within expected range
REC-0558,2026-07-12,South,Alpha,110.41,185.48,57.16,84.6,0.848,Active,TRUE,Performance improving
REC-0559,2026-07-13,East,Beta,116.06,211.71,38.03,94.3,0.906,Active,TRUE,Performance improving
REC-0560,2026-07-14,South,Gamma,112.27,197.05,39.43,91.7,0.856,Paused,TRUE,No action required
REC-0561,2026-07-15,South,Beta,115.54,198.39,51.96,94.4,0.854,Active,TRUE,Routine observation
REC-0562,2026-07-16,North,Beta,104.17,173.37,55.10,89.0,0.945,Active,TRUE,Routine observation
REC-0563,2026-07-17,South,Delta,119.14,219.75,46.56,88.6,0.811,Review,TRUE,
REC-0564,2026-07-18,South,Alpha,126.03,215.38,56.06,85.5,0.924,Active,TRUE,Follow-up recommended
REC-0565,2026-07-19,South,Beta,111.94,196.12,50.27,79.6,0.947,Paused,TRUE,No action required
REC-0566,2026-07-20,South,Beta,119.21,200.65,51.71,72.4,0.883,Review,TRUE,Within expected range
REC-0567,2026-07-21,North,Epsilon,112.42,201.00,41.29,94.5,1.000,Active,TRUE,Performance improving
REC-0568,2026-07-22,South,Gamma,112.88,203.15,53.82,87.1,0.930,Active,TRUE,Routine observation
REC-0569,2026-07-23,North,Epsilon,100.37,183.55,53.93,77.2,0.918,Paused,TRUE,Performance improving
REC-0570,2026-07-24,South,Delta,113.47,196.98,54.85,77.6,0.886,Active,TRUE,Within expected range
REC-0571,2026-07-25,East,Beta,303.85,520.21,35.45,100.0,0.940,Review,FALSE,Potential anomaly - investigate
REC-0572,2026-07-26,South,Beta,104.48,168.64,50.15,76.5,0.840,Review,TRUE,No action required
REC-0573,2026-07-27,East,Gamma,96.05,161.34,42.83,79.2,0.836,Active,FALSE,No action required
REC-0574,2026-07-28,South,Alpha,111.87,188.84,55.20,92.8,0.821,Active,TRUE,Within expected range
REC-0575,2026-07-29,South,Delta,106.99,199.04,47.50,88.7,0.896,Active,TRUE,Follow-up recommended
REC-0576,2026-07-30,East,Delta,94.33,173.55,51.42,76.9,0.908,Active,FALSE,Within expected range
REC-0577,2026-07-31,South,Beta,109.29,193.40,56.91,88.7,0.823,Review,TRUE,Performance improving
REC-0578,2026-08-01,South,Gamma,111.90,200.50,55.39,78.0,0.935,Paused,TRUE,
REC-0579,2026-08-02,West,Gamma,101.94,165.49,32.62,88.5,0.847,Active,TRUE,Routine observation
REC-0580,2026-08-03,East,Beta,106.24,194.35,50.76,81.8,0.953,Review,TRUE,Within expected range
REC-0581,2026-08-04,South,Gamma,98.12,166.64,60.15,74.8,0.947,Active,FALSE,Follow-up recommended
REC-0582,2026-08-05,West,Delta,89.35,165.04,49.12,82.6,0.875,Active,FALSE,Follow-up recommended
REC-0583,2026-08-06,West,Gamma,90.23,150.33,42.04,77.2,0.965,Active,FALSE,Routine observation
REC-0584,2026-08-07,South,Epsilon,104.06,189.67,47.38,71.8,0.855,Active,TRUE,Performance improving
REC-0585,2026-08-08,South,Gamma,102.57,173.60,67.60,83.9,0.834,Active,TRUE,Performance improving
REC-0586,2026-08-09,East,Delta,102.09,172.44,53.66,88.6,0.787,Active,TRUE,Performance improving
REC-0587,2026-08-10,East,Gamma,96.39,161.25,42.74,73.2,0.820,Active,FALSE,Routine observation
REC-0588,2026-08-11,South,Delta,113.52,194.48,44.01,91.7,0.876,Active,TRUE,Follow-up recommended
REC-0589,2026-08-12,East,Beta,100.61,183.03,34.27,84.6,0.835,Active,TRUE,Follow-up recommended
REC-0590,2026-08-13,East,Gamma,97.22,177.98,48.94,93.4,1.000,Active,FALSE,No action required
REC-0591,2026-08-14,West,Delta,92.93,166.60,51.31,84.0,0.940,Active,FALSE,Follow-up recommended
REC-0592,2026-08-15,West,Alpha,103.43,181.87,43.35,70.3,0.920,Active,TRUE,Follow-up recommended
REC-0593,2026-08-16,East,Gamma,90.08,157.46,36.13,76.5,0.905,Active,FALSE,Follow-up recommended
REC-0594,2026-08-17,North,Gamma,101.77,177.21,42.96,84.9,0.813,Active,TRUE,Routine observation
REC-0595,2026-08-18,West,Delta,92.46,156.91,,78.4,0.794,Active,FALSE,No action required
REC-0596,2026-08-19,South,Gamma,118.80,207.51,61.25,86.6,0.888,Active,TRUE,No action required
REC-0597,2026-08-20,South,Gamma,105.36,195.76,62.91,88.1,0.899,Active,TRUE,No action required
REC-0598,2026-08-21,South,Alpha,110.29,201.98,54.19,88.2,0.919,Active,TRUE,Within expected range
REC-0599,2026-08-22,West,Epsilon,92.46,170.58,26.96,74.5,0.883,Paused,FALSE,Performance improving
REC-0600,2026-08-23,West,Delta,98.37,173.64,41.24,84.2,0.884,Active,FALSE,Routine observation
REC-0026,2025-01-26,North,Delta,87.84,154.87,46.15,78.0,0.717,Active,FALSE,Performance improving
REC-0100,2025-04-10,South,Gamma,84.54,149.11,53.23,65.2,0.692,Paused,FALSE,Performance improving
REC-0145,2025-05-25,West,Beta,71.09,125.05,32.60,78.4,0.758,Active,FALSE,
REC-0234,2025-08-22,East,Delta,88.76,154.35,40.23,71.8,0.743,Active,FALSE,Routine observation
REC-0319,2025-11-15,East,Beta,83.89,167.17,50.56,77.3,0.833,Paused,FALSE,No action required
REC-0403,2026-02-07,East,Epsilon,98.56,169.06,53.39,84.0,0.857,Paused,FALSE,Performance improving
REC-0512,2026-05-27,South,Beta,112.14,194.99,37.90,83.4,0.889,Active,TRUE,No action required
REC-0581,2026-08-04,South,Gamma,98.12,166.64,60.15,74.8,0.947,Active,FALSE,Follow-up recommended
